,Date,repo,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,,,,,
Data for presentation:,04/27/11 12:00 AM,chromeless,1,103,9,0,18,0,0,0,0,0,17,,,,,
Data for presentation:,04/27/11 12:00 AM,addon-sdk,0,42,0,0,1,0,0,0,0,0,7,,,,,
Data for presentation:,04/27/11 12:00 AM,prospector,0,297,45,0,0,0,0,0,0,0,83,,,,,
Data for presentation:,04/27/11 12:00 AM,markup,0,0,0,0,1,0,0,0,0,0,1,,,,,
Data for presentation:,04/27/11 12:00 AM,zamboni,0,4,0,0,70,0,0,0,0,0,11,,,,,
Data for presentation:,04/27/11 12:00 AM,input-tests,0,19,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,05/27/11 12:00 AM,opensearch,0,13,1,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,05/27/11 12:00 AM,bleach,0,10,0,0,0,0,0,0,0,0,5,,,,,
Data for presentation:,05/27/11 12:00 AM,elasticutils,0,0,0,0,3,0,0,0,0,0,2,,,,,
Data for presentation:,05/27/11 12:00 AM,amo-validator,0,7,0,0,1,0,0,0,0,0,2,,,,,
Data for presentation:,05/27/11 12:00 AM,twitter-address-bar-search,4,9,8,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,05/27/11 12:00 AM,rainbow,0,0,1,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,05/27/11 12:00 AM,Addon-Tests,0,49,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,05/27/11 12:00 AM,sumo-tests,0,5,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,05/27/11 12:00 AM,rhino,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,05/27/11 12:00 AM,mozregression,0,2,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,05/27/11 12:00 AM,mozillians,0,4,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,05/27/11 12:00 AM,persona,0,19,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,05/27/11 12:00 AM,playdoh,0,25,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,05/27/11 12:00 AM,pontoon,0,0,0,0,1,0,0,0,0,0,1,,,,,
Data for presentation:,05/27/11 12:00 AM,openwebapps,0,38,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,05/27/11 12:00 AM,mozmill,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,05/27/11 12:00 AM,kitsune,0,103,0,0,7,0,0,0,0,0,5,,,,,
Data for presentation:,05/27/11 12:00 AM,Socorro-Tests,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,05/27/11 12:00 AM,chromeless,0,64,7,0,6,0,0,0,0,0,16,,,,,
Data for presentation:,05/27/11 12:00 AM,addon-sdk,0,17,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,05/27/11 12:00 AM,prospector,0,271,40,0,8,0,0,0,0,0,50,,,,,
Data for presentation:,05/27/11 12:00 AM,doctorjs,0,1,0,0,1,0,0,0,0,0,2,,,,,
Data for presentation:,05/27/11 12:00 AM,zamboni,0,1,0,0,61,0,0,0,0,0,10,,,,,
Data for presentation:,05/27/11 12:00 AM,pdf.js,0,138,0,0,3,0,0,0,0,0,16,,,,,
Data for presentation:,05/27/11 12:00 AM,input-tests,0,11,0,0,1,0,0,0,0,0,6,,,,,
Data for presentation:,06/26/11 12:00 AM,f1,0,1,0,0,3,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,dryice,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,pdf.js,0,339,4,0,8,0,0,0,0,0,20,,,,,
Data for presentation:,06/26/11 12:00 AM,dxr,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,elasticutils,0,0,0,0,5,0,0,0,0,0,2,,,,,
Data for presentation:,06/26/11 12:00 AM,input.mozilla.org,0,6,0,0,1,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,narcissus,0,15,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,amo-validator,0,2,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,rainbow,0,1,3,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,06/26/11 12:00 AM,Addon-Tests,0,60,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,06/26/11 12:00 AM,sumo-tests,0,2,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,06/26/11 12:00 AM,rhino,1,3,1,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,mozregression,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,lightbeam,0,12,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,prospector,0,32,9,0,0,0,0,0,0,0,16,,,,,
Data for presentation:,06/26/11 12:00 AM,persona,0,95,0,0,7,0,0,0,0,0,23,,,,,
Data for presentation:,06/26/11 12:00 AM,playdoh,0,43,1,0,2,0,0,0,0,0,7,,,,,
Data for presentation:,06/26/11 12:00 AM,bleach,0,15,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,kitsune,0,133,0,0,2,0,0,0,0,0,4,,,,,
Data for presentation:,06/26/11 12:00 AM,Socorro-Tests,0,2,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,06/26/11 12:00 AM,chromeless,3,17,4,0,0,0,0,0,0,0,8,,,,,
